"","Age","Pitches","IP","G","P_per_IP_accel_2","prior_injury","sinkers_cutters_percent","prior_injury_last_2","P_per_IP","pitches_per_bat","Pitches_accel_2","G_accel_2","IP_accel_2","tj","sinkers_cutters_percent_accel_2","IP_per_G","pitches_per_game","other_pitch_types_percent_accel_2","other_pitch_types_w_accel_2","years_since_tj","other_pitch_types_X_accel_2","other_pitch_types_Z_accel_2","SO_G_accel_2","ws_pitcher","walk_rate","walk_rate_accel_2","wild_pitch_rate","wild_pitch_rate_accel_2","FA...pi.","FC...pi.","SI...pi.","FA.X..pi.","FC.X..pi.","SI.X..pi.","FA.Z..pi.","FC.Z..pi.","SI.Z..pi.","wFA..pi.","wFC..pi.","wSI..pi.","FA...pi._accel_2","FC...pi._accel_2","SI...pi._accel_2","FA.X..pi._accel_2","FC.X..pi._accel_2","SI.X..pi._accel_2","FA.Z..pi._accel_2","FC.Z..pi._accel_2","wFC.C..pi.","wFC.C..pi._accel_2","wSI.C..pi.","wSI.C..pi._accel_2","wFA.C..pi.","wFA.C..pi._accel_2","SI.Z..pi._accel_2","win_rec","wFA..pi._accel_2","wSI..pi._accel_2","wFC..pi._accel_2","vFA..pi.","vFC..pi.","vSI..pi.","vFC..pi._accel_2","vFA..pi._accel_2","vSI..pi._accel_2","SL...pi.","SL...pi._accel_2","SL.X..pi.","SL.X..pi._accel_2","SL.Z..pi.","SL.Z..pi._accel_2","vSL..pi.","vSL..pi._accel_2","wSL..pi.","wSL..pi._accel_2"
"wild_pitch_rate","-0.10208475920563","-0.185766114114545","-0.192418675859239","0.0998944773503715","-0.0132825305489539","-0.0051862238366302","-0.087029513407033","0.00762573717102129","0.124663803253387","0.0772383679915489","-0.0162599240417751","0.029175975666521","-0.0151682442955166","0.0241769121731994","0.0298514761782147","-0.208512587880892","-0.200715179989927","0.0547193061945034","0.0075043718075609","0.00134206949200711","0.0283054610834391","-0.0274981063301911","-0.0287546652426372","-0.00370487904247151","0.22542677064114","0.0383780466417244","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wild_pitch_rate_accel_2","-0.00574395753424334","-0.0565287812427436","-0.0598560614432423","0.00955248868916521","0.0437744540196331","-0.0182046790517835","-0.0518896321920738","-0.00269346851491713","0.0746771447171672","0.0261240641545781","-0.058917271334901","0.00461201520991292","-0.0646636125325195","-0.00803122964631257","-0.0093082194139862","-0.0460209343747121","-0.0405163343683203","0.0540127619959721","-0.0115439987665682","-0.0036733848918094","0.0222225360400303","0.00831319486654627","-0.0807417639572353","-0.00714266927510004","0.0696633747827887","0.0939569201900189","0.576090759805826","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA...pi.","-0.187078982580277","-0.167417655274313","-0.185398271629119","0.0961616842571626","-0.00101228378540284","-0.0174759087245684","-0.533605347016026","-0.0066011463746651","0.223107568106874","0.368917265791397","0.0278672125413953","0.0342200605386551","0.030066556295443","0.00152550486483589","-0.178927936437659","-0.208836793824067","-0.194520936395283","-0.0287529796281418","0.014976845036125","-0.0318840778246291","0.0201302174830599","0.00523945059604749","0.0191519001549829","-0.0621576135853552","0.11776589641362","-0.0206855625757925","0.047686081274596","0.00527596015601119","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC...pi.","0.0688374191073542","0.00775854773337298","0.0176798765516223","0.0323869008377878","-0.0123990969730344","0.00866615962377404","0.49690022459185","0.00601444617453472","-0.0831502123039222","-0.0546048407423631","-0.0324009826542178","-0.00316111187249408","-0.024701790575426","-0.0330566019282374","0.181522186476815","-0.0066373078216826","-0.0134126272378886","-0.183181391693034","0.0066377040092965","-0.035323575997655","0.0414476983474108","-0.00167172281595341","-0.034934373036335","0.0358126283784772","-0.107661246563958","-0.00103077422334676","-0.0862427710644681","-0.0492254873060729","-0.0937132217736403","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI...pi.","0.146547278255169","0.0166609812084101","0.0360285075897002","-0.0124762156274108","0.0277506137271612","0.000511930149768793","0.785661980251834","-0.00619591480250328","-0.208596630465545","-0.390972950871516","-0.0107547627130819","-0.00982428686801454","-0.00896335040476031","0.00225109931653217","0.260034175651065","0.0517085152091424","0.0404815523182363","-0.143126875231667","-0.0298992222049844","0.02154592155103","-0.0576696518770053","-0.008446243643386","-0.0176481762340297","0.0146180520005119","-0.0887383420830168","0.00549817897578637","-0.0377228605742938","-0.0240563638638788","-0.541448918971405","-0.146478817211574","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA.X..pi.","-0.0157098318967951","-0.0324293023761568","-0.0365606266771799","0.0154027522459638","-0.00238027486700155","-0.0261660063753119","0.030600254579376","0.000920119477384213","0.0440649395170823","0.0203677993706713","-0.0306020934263696","-0.0102232811244671","-0.0312622244631503","-0.0443439627970577","-0.00201945284505435","-0.00780358439875717","-0.00441942589633942","0.0395584687073896","-0.00552941422192088","-0.0235132927447992","0.0164657246573206","-0.0597493315643161","0.000918289470227168","-0.0259468181606716","0.034379566726115","-0.0202457268544616","5.7316897926144e-05","0.0246770954703052","0.0345629068517638","0.00831744255127389","0.0289517587491856","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC.X..pi.","0.01534211406495","0.0237543941997946","0.0239973296605069","0.0241612065577363","-0.00837331912553001","0.0506501711099326","0.117538839226155","0.0324967530130601","-0.0261743404649617","-0.0110540522672337","-0.0174701431345036","-0.00870111963678824","-0.0152259536277625","-0.0247730981566129","0.0543234225711941","0.0120742397798881","0.0117728484557518","-0.0651431549930911","-0.0204007364368906","-0.0383215516519232","0.0535769464682858","-0.0296683883546646","-0.0073379231260269","0.0285028364854774","-0.0746685749416217","-0.0333480900663562","-0.056063446687117","-0.0502720882215426","-0.0120505112053949","0.22968752592717","-0.0297606546338638","0.197166396655932","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI.X..pi.","-0.0335785270458915","-0.0754230440158282","-0.0823485102098062","0.034801701458508","-0.018780131201277","-0.0432741893390664","-0.0855179067037893","-0.0205184451036266","0.0911339451199046","0.0927890319780346","-0.0251986901326107","-0.0036212126555881","-0.0242038126651354","-0.0240416477232439","-0.0256057887903556","-0.0700122096052025","-0.0631537019765198","0.0503683987252366","0.00181399840482509","-0.000162737151528592","-0.0126916919175185","-0.05667987315153","0.014623336028544","-0.050619942001109","0.0763632121730531","0.00655091104231755","0.0205510509889246","0.012406853899979","0.138744296833017","-0.0437944768635441","-0.0662609693181565","0.816270951583885","0.12187125809538","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA.Z..pi.","-0.10083896208069","0.14909698665263","0.129761595099089","-0.0844607216014252","-0.034253495471025","0.0361723195471961","-0.383730290534434","0.0156731410407841","0.129555129795952","0.195862116873197","0.0339610515633533","0.0248279547487914","0.0287114553893956","-0.0857385416158899","-0.030880958593795","0.142551360785257","0.155773047518014","0.0512966671284199","-0.0141515690271913","-0.0504658734702822","0.0245141920611134","0.056425254748333","0.00291137730441227","0.0125027605864394","0.0523692060175268","-0.0536371135009647","-0.00380038545917961","0.0264078727939167","0.0739534323727455","-0.0490209877580977","-0.402467253746726","0.0216625559016387","0.0293563711911089","0.0220812758697139","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC.Z..pi.","0.0432504975193351","0.151597628520252","0.149696579552617","-0.0625963455479076","-0.0182995697266674","0.0413219242821843","0.120902175349699","0.0285162363475268","-0.0488095340336829","0.0142109868471723","-0.0255242074754561","-0.0377576031723094","-0.026005333881515","-0.0645572039416462","0.00382389497404935","0.153877534373229","0.154943073622753","-0.0829873804310142","-0.0339447795693091","-0.0423454864812741","0.0193484569327357","0.0186886823294935","-0.0202202728326384","0.0314957509040474","-0.121980901469948","-0.0132859006592406","-0.0991105422036653","0.0151660538782327","-0.0408376816508258","0.42699233827962","-0.166584459533043","0.0360437459738125","0.162391353436146","-0.0050186261357044","0.17852051359378","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI.Z..pi.","0.00957764565539676","0.194441774688899","0.1894288358857","-0.158586174613897","-0.00464679925699186","0.0234155289203995","0.261059926322167","0.0336306577512431","-0.0548485230362093","-0.135534250983734","-0.0529461988688465","-0.0139915656063946","-0.0555039153020215","-0.0241168743179762","0.124494659376561","0.268198712365416","0.274977144775166","-0.074733765605054","-0.0534873009022369","-0.00730061544819929","-0.0233895050057772","0.0345438113526431","-0.0658834854655168","0.0238631468573158","-0.0461667487865508","-0.0197742592435816","-0.0755623650259347","-0.00915540310050603","-0.296620376596425","0.0428661903401934","0.26702305507088","0.129384690134461","0.105152547739043","-0.0631840521880509","0.228684229393293","0.116999793249432","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
