PLAYER,injury,year
JONATHAN SANCHEZ," RETROACTIVE TO MAY 8, 2012. LEFT BICEPS TENDINITIS. RETROACTIVE TO AUGUST 4, 2012. LEFT BICEP TENDINITIS.",2012
JONNY VENTERS,. LEFT ELBOW IMPINGEMENT.,2012
JORDAN NORBERTO," RETROACTIVE TO MAY 31, 2012. STRAINED LEFT SHOULDER RETROACTIVE TO AUGUST 18, 2012. LEFT SHOULDER TENDINITIS.",2012
JORDAN WALDEN," RETROACTIVE TO JULY 9, 2012. STRAINED RIGHT BICEP.",2012
JORGE DE LA ROSA," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM JUNE 2011 TOMMY JOHN SURGERY.",2012
JOSE CEDA," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM APRIL 2012 TOMMY JOHN SURGERY.",2012
JOSE CONTRERAS," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM SEPTEMBER 2011 RIGHT ELBOW SURGERY.. RIGHT ELBOW STRAIN",2012
JOSH BECKETT," RETROACTIVE TO JUNE 12, 2012. RIGHT SHOULDER INFLAMMATION.",2012
JOSH OUTMAN," RETROACTIVE TO MARCH 30, 2012. STRAINED OBLIQUE.",2012
JOSH TOMLIN," RETROACTIVE TO MAY 8, 2012. SORE RIGHT WRIST. RETROACTIVE TO AUGUST 13, 2012. RIGHT ELBOW INFLAMMATION.",2012
JUAN CARLOS OVIEDO,.,2012
JUAN CRUZ," RETROACTIVE TO JULY 18, 2012. RIGHT SHOULDER INFLAMMATION.",2012
JUAN NICASIO,. STRAINED LEFT KNEE.,2012
JUSTIN DE FRATUS," RETROACTIVE TO MARCH 26, 2012. RIGHT ELBOW SPRAIN.",2012
KERRY WOOD," RETROACTIVE TO APRIL 14, 2012. RIGHT SHOULDER FATIGUE.",2012
KOJI UEHARA,. RIGHT LAT STRAIN,2012
KYLE DRABEK," RETROACTIVE TO JUNE 14, 2012. SPRAINED RIGHT ELBOW.",2012
KYLE FARNSWORTH," RETROACTIVE TO APRIL 1, 2012. RIGHT ELBOW STRAIN.",2012
KYLE MCCLELLAN,. RIGHT ELBOW STRAIN.,2012
KYLE WEILAND," RETROACTIVE TO APRIL 25, 2012. RIGHT SHOULDER BURSITIS",2012
LATROY HAWKINS,. FRACTURED RIGHT PINKIE FINGER.,2012
LENDY CASTILLO," RETROACTIVE TO MAY 12, 2012. LEFT GROIN STRAIN",2012
LEYSON SEPTIMO," RETROACTIVE TO AUGUST 14, 2012. LEFT BICEPS INFLAMMATION.",2012
LUIS MARTE,. STRAINED LEFT HAMSTRING.,2012
LUIS PEREZ," RETROACTIVE TO JULY 9, 2012. TORN LIGAMENT IN HIS LEFT ELBOW.",2012
