"pitching.Season","pitching.Name","pitching.injury_lagged","residuals.reg.24.","residuals.reg.24..type....pearson..","hatvalues.reg.24."
2015,"TONY CINGRANI",0,-0.408802520444088,-0.29521207794934,0.00814170955078587
2015,"BRYAN MORRIS",1,1.58172353772924,1.5791047725283,0.00465250564942818
2015,"CLAY BUCHHOLZ",0,-1.23024927190721,-1.0636504340706,0.0130286702100833
2015,"DAVID HALE",0,-0.891353817775817,-0.698381318147207,0.00576389597149747
2015,"BRETT ANDERSON",1,1.4215054277471,1.32156403311676,0.0174258228186877
2015,"CODY ALLEN",0,-0.775225992213133,-0.592044975560579,0.00294285595404015
2015,"NEAL COTTS",0,-0.912480237277687,-0.718579157367191,0.0115543345988427
2015,"CLAYTON KERSHAW",1,1.13462448756831,0.950518226915176,0.0140838818695937
2015,"STEVE CISHEK",0,-0.551783343732853,-0.405500743186882,0.00300616214092489
2015,"RICH HILL",1,1.49893458703021,1.44059014683602,0.0169032976381676
2015,"YORDANO VENTURA",0,-0.942592384716319,-0.747866959160906,0.0208752881531621
2015,"TREVOR BAUER",0,-0.846931645013473,-0.656803522183596,0.0135034826493637
2015,"BURKE BADENHOP",0,-0.634584724982982,-0.472283181608879,0.00419419511212343
2015,"CRAIG BRESLOW",0,-0.839336721834285,-0.64981088309116,0.0121047598764578
2015,"YUSMEIRO PETIT",0,-0.706689514400823,-0.532584950812254,0.00576307303774484
2015,"BRYAN SHAW",0,-0.515314264748693,-0.376818697673922,0.00425770810493498
2015,"TOMMY LAYNE",0,-0.50163387422309,-0.366163974266133,0.00476331337967941
2015,"KEVIN CORREIA",0,-0.443919313015448,-0.321791724738991,0.00943132084854873
2015,"SHELBY MILLER",1,1.43320838300173,1.33895320784269,0.00544301057921062
2015,"SEAN DOOLITTLE",1,1.63036028767618,1.66655490650394,0.0138425437063556
2015,"JEREMY HELLICKSON",0,-0.933719142698214,-0.739174173319114,0.00655540899833023
2015,"LATROY HAWKINS",0,-1.0857258730121,-0.896050753123035,0.00853409058788508
2015,"TYLER LYONS",1,1.34018451333955,1.20615291079557,0.00544642987457971
2015,"PHIL HUGHES",1,1.64301669464322,1.69010908986952,0.0104526177317065
2015,"PEDRO VILLARREAL",0,-0.663024242441078,-0.49581070385858,0.00976525143283671
2015,"XAVIER CEDENO",0,-0.726268795978396,-0.549345803127591,0.00422122459731177
2015,"JOE THATCHER",0,-0.293153068249612,-0.20953737095536,0.00363803748777868
2015,"DREW STOREN",1,1.50443535691429,1.44941659354297,0.00310264286458586
2015,"IAN KENNEDY",0,-0.827147145392711,-0.638656129520787,0.00502767653819168
2015,"LUIS AVILAN",0,-0.817621759196841,-0.629996867841628,0.00402525478701446
2015,"JAKE MCGEE",1,1.48342349696817,1.4159749921695,0.00558810959182123
2015,"LOGAN KENSING",0,-0.687781153259513,-0.516560488515044,0.00698786015988044
2015,"WANDY RODRIGUEZ",0,-1.00517063333636,-0.810734503771746,0.01083886222368
2015,"ZACK GREINKE",1,1.48568462339787,1.4195383596898,0.0102494238401687
2015,"CESAR JIMENEZ",0,-0.487078013166865,-0.354887008460982,0.00362410072594931
2015,"MATT BELISLE",0,-0.625078751614296,-0.464489689630112,0.00340219139842183
2015,"MIKE LEAKE",0,-0.906788605212034,-0.713109848666079,0.00575294515282755
2015,"JEREMY AFFELDT",0,-0.952139987013434,-0.757280000286698,0.00895189928795616
2015,"NICK MASSET",0,-0.871885990068741,-0.680014697192074,0.00332138355859187
2015,"MATT HARRISON",0,-0.732521813957737,-0.55473569610664,0.00855402525360227
2015,"FERNANDO ABAD",0,-0.715034338831422,-0.539707304976713,0.00216386630203186
2015,"NATE JONES",0,-1.0992550061735,-0.910907587324518,0.0151177439467549
2015,"LUIS GARCIA",0,-0.939911270335648,-0.7452347829346,0.00634142919129493
2015,"MATT HARVEY",1,1.32098626056211,1.18020812570182,0.0250234247172371
2015,"TANNER ROARK",0,-0.91781233081887,-0.723721885553685,0.00537959660471177
2015,"STEPHEN STRASBURG",1,1.12420710812684,0.938733497984766,0.0118513936471944
2015,"PETER MOYLAN",0,-1.34799703310163,-1.21684753202867,0.0290401995644318
2015,"DOUG FISTER",0,-0.710042303587424,-0.535442822320699,0.00814763501832988
2015,"JONATHAN BROXTON",0,-0.953838646634953,-0.758961268273654,0.0051547146662197
2015,"JUSTIN GRIMM",0,-0.598109697080008,-0.442563450059313,0.00601022774893703
2015,"KELVIN HERRERA",0,-0.957559601921718,-0.762651098394569,0.00717858316101331
2015,"JOAQUIN BENOIT",1,1.60660981792257,1.62325536773028,0.00295040062795357
2015,"J.J. HOOVER",0,-0.697182407755713,-0.524508328678549,0.00411514679274501
2015,"CHRIS SALE",0,-1.03981433971928,-0.846787266840669,0.0249899863243794
2015,"ALEXI OGANDO",0,-0.961537879830446,-0.766606743914342,0.00617743824361529
2015,"ERASMO RAMIREZ",0,-0.738070406096547,-0.559533690672157,0.00711971813895302
2015,"DREW SMYLY",0,-0.880646445908444,-0.688251002622533,0.00384579821719219
2015,"MAT LATOS",0,-0.999817761790125,-0.805245841613489,0.00911253498037696
2015,"JASON GRILLI",0,-1.15227976961918,-0.970722877783141,0.0107198992640679
2015,"J.A. HAPP",0,-0.916602743909086,-0.722553642670182,0.00941441349886383
2015,"TYSON ROSS",1,1.42771297969499,1.33076207731622,0.0120465734354663
2015,"DELLIN BETANCES",0,-0.67843482404544,-0.508696698102029,0.0109409662535119
2015,"JOSH FIELDS",0,-1.07688385592191,-0.886426337019483,0.00693731285445316
2015,"DAVID ROBERTSON",0,-1.01260504871924,-0.818393342009278,0.00633501349232003
2015,"AJ RAMOS",0,-0.624739642128032,-0.464212307180826,0.00377861309542234
2015,"VANCE WORLEY",0,-0.701300205488137,-0.528001650203083,0.00603607044161554
2015,"JEREMY JEFFRESS",0,-1.01465160961621,-0.820509055749581,0.00839512478993247
2015,"TYLER THORNBURG",0,-0.771797411238619,-0.58901643637068,0.00917519170893993
2015,"JOE SMITH",0,-0.685826001008506,-0.514912387873603,0.00329163648434674
2015,"JAMES PAXTON",1,1.38691650156947,1.27134568286874,0.00544675596670079
2015,"RANDY WOLF",0,-0.471765960403253,-0.343088276744665,0.0106238052504796
2015,"TOMMY HUNTER",0,-1.26191747943931,-1.10324046528485,0.0185411258542238
2015,"DAN STRAILY",0,-0.481763974756446,-0.350784938904175,0.00723262892738514
2015,"ALEX WILSON",1,1.52154376081131,1.47720012599404,0.00760537805699328
2015,"BRANDON MAURER",0,-0.980007750305621,-0.785117778754511,0.00550954171959261
2015,"UBALDO JIMENEZ",0,-0.738210004408805,-0.559654591356477,0.0099725462610898
2015,"JARED HUGHES",1,1.58970463037828,1.59313105269534,0.00679462706976818
2015,"AARON THOMPSON",0,-0.534582799911727,-0.391921151355529,0.00509500313415618
2015,"BARTOLO COLON",0,-0.69454733180346,-0.522276762786414,0.0152485655266126
2015,"LIAM HENDRIKS",1,1.17976263768801,1.00277276362789,0.0134354481235752
2015,"WILL HARRIS",0,-0.668690835039353,-0.500537533124248,0.00199359777571372
2015,"JUAN NICASIO",0,-0.560125422158861,-0.412121110985483,0.00782532591796284
2015,"JESSE CHAVEZ",0,-0.823324881652975,-0.635175416553829,0.0048172403599741
2015,"STOLMY PIMENTEL",0,-0.834611727009619,-0.645477113370545,0.00897306819581909
2015,"COLLIN MCHUGH",0,-0.983665629806024,-0.788812780922638,0.0139373128524027
2015,"STEVE DELABAR",0,-0.767522510221964,-0.585248592215771,0.00716023788295076
2015,"FELIX DOUBRONT",0,-0.909767726848031,-0.715970013195632,0.00674138071233545
2015,"SHAWN TOLLESON",1,1.42299482906048,1.32376570475418,0.00503227891579287
2015,"MATT MOORE",0,-1.09380993072077,-0.904908987005301,0.0116594783560896
2015,"JAKE DIEKMAN",1,1.59053468993157,1.59459697326684,0.00809250171760391
2015,"CORY RASMUS",1,2.04532706791353,2.66430490657719,0.00361377385261598
2015,"CRAIG KIMBREL",1,1.36980574516699,1.24713127978135,0.00620301114977311
2015,"COLE HAMELS",0,-0.997903097766855,-0.803287808130152,0.0061385003393644
2015,"MADISON BUMGARNER",0,-0.918585447160841,-0.724469074295136,0.00827661068457113
2015,"ZACK BRITTON",0,-0.926635501388023,-0.732272353627492,0.0125248869308654
2015,"WILL SMITH",1,1.555951307773,1.53464515932016,0.00457487501097508
2015,"A.J. BURNETT",0,-1.01773236199457,-0.823699950581243,0.00883606244224367
2015,"DEREK HOLLAND",1,1.20430638419304,1.03203510230783,0.0216333559152139
2015,"SCOTT BAKER",0,-0.86528178706497,-0.673836120249516,0.0108111955436314
2015,"HUSTON STREET",1,1.76614527929911,1.93831952083507,0.00353122648469625
2015,"JAMES RUSSELL",0,-0.651506547648333,-0.486243472970293,0.00502170738658814
2015,"MIKE PELFREY",1,1.23415135867121,1.06846843135468,0.010145913949369
2015,"DAVID CARPENTER",0,-0.757521586040754,-0.576469363059119,0.00663854633501436
2015,"RYAN VOGELSONG",0,-0.907110501243215,-0.713418618175528,0.00746895510353669
2015,"ADAM WAINWRIGHT",0,-1.50632519059902,-1.45246086650466,0.0680874148188094
2015,"TIM LINCECUM",0,-0.616488793571464,-0.45747669664355,0.010904927441206
2015,"TOM WILHELMSEN",1,1.5943260550518,1.60130991454452,0.00324052405834663
2015,"ADDISON REED",0,-0.861183164016569,-0.670014676158645,0.00357907824333166
2015,"EVAN SCRIBNER",1,1.49040264857303,1.42700085909093,0.00857101703584675
2015,"JUSTIN MILLER",1,1.68947139426067,1.77956038718148,0.00230547314452598
2015,"FRANCISCO RODRIGUEZ",0,-0.670385531923592,-0.50195375082823,0.00482459602023016
2015,"JIMMY NELSON",0,-0.987067074149228,-0.792257463371414,0.0149771258214321
2015,"HOMER BAILEY",1,0.974836442411409,0.779910452816271,0.0368524328930668
2015,"SEAN O'SULLIVAN",1,1.6320716968759,1.66972012295544,0.00905494552512867
2015,"JOAKIM SORIA",0,-1.11963225256485,-0.933589698875227,0.0125735174260812
2015,"GEORGE KONTOS",1,1.43852329558046,1.34691887294183,0.0101007018156703
2015,"ADAM OTTAVINO",1,0.952228623162601,0.757367679752677,0.0191020103757067
2015,"EDINSON VOLQUEZ",0,-1.15671368868999,-0.975843705960917,0.00803896409015407
2015,"DAN HAREN",0,-0.638088459753859,-0.47516450379871,0.00575144060687359
2015,"CHRIS RUSIN",1,1.53026977131943,1.49156754117077,0.00703315219917094
2015,"MARTIN PEREZ",0,-1.15982809001658,-0.9794519501944,0.0139232678162412
2015,"MATT SHOEMAKER",0,-0.67425248959804,-0.50518974503675,0.00764843622071818
2015,"R.A. DICKEY",0,-0.499247819111675,-0.364311250614035,0.00817652682199301
2015,"COREY KLUBER",0,-0.793867586122594,-0.60861645048239,0.0111092284870114
2015,"JASON FRASOR",0,-0.630734706230209,-0.469122563067622,0.00774833212150938
2015,"JOSH TOMLIN",0,-0.763564834711897,-0.581768468753566,0.0179468128303885
2015,"CHRIS HATCHER",1,1.58436930715973,1.583740812275,0.00786366685729903
2015,"CLAYTON RICHARD",1,1.14538729824358,0.962800028204427,0.029679051965297
2015,"JEFF LOCKE",0,-0.910048441509086,-0.716239811541097,0.00369876733103583
2015,"TAIJUAN WALKER",0,-1.06696429622292,-0.875707896332807,0.0148807106263613
2015,"LANCE LYNN",0,-0.841288443841207,-0.65160469221313,0.00665774746818066
2015,"AARON LOUP",1,1.48428923475614,1.41733833460269,0.00757528043055111
2015,"DANNY SALAZAR",1,1.22309938071256,1.05486528506821,0.00869928737978332
2015,"BRETT CECIL",1,1.32661195930992,1.18776189083633,0.00668738753488647
